countyname,Percent_Ages_18_34,Percent_No_Int__Access,Percent_Poverty,Percent_Lim__English,Percent_No_Comp__Devices,Fall.2019,AreaType,Year,Population,county_pct_rural,cluster_pct_rural_avg,not_adjacent_urban,lowed,lowemp,perpov,perchldpov,has_college,enroll_rate
alleghany,15.9429505813953,21.5243902439024,23.4214390602056,2.4390243902439,17.7642276422764,112,County,2020,10888,NA,NA,NA,NA,NA,NA,NA,0,0.010286554004408524
anson,22.5604369126978,22.9177607394181,19.4829378139615,2.18464447011868,18.2753912404159,268,County,2020,22055,78.51,60.67,0,1,1,0,0,1,0.012151439582861029
ashe,16.3570710642892,26.0847713184788,16.2782805429864,0.762271737309432,19.5258837326185,334,County,2020,26577,NA,NA,NA,NA,NA,NA,NA,0,0.012567257403017647
avery,21.478350279904,23.8894825217524,15.10064727221,1.03800946420394,17.5393069760342,169,County,2020,17806,88.78,62.55,0,0,1,0,0,1,0.00949118274738852
beaufort,17.0730156037992,27.5823562255723,18.6299313893654,1.33495761636465,16.6641287244302,689,County,2020,44652,65.6,66.38,0,0,1,0,1,1,0.015430439845919556
bertie,20.8668730650155,36.9452522442787,23.1531731088714,0.227588822860033,24.7692502212669,248,County,2020,17934,NA,NA,NA,NA,NA,NA,NA,0,0.013828482212557154
bladen,18.2835932588978,26.7160457612203,24.3271158636612,2.00938691698445,19.5658550894691,492,County,2020,29606,91.23,66.92,0,1,1,1,1,1,0.016618253056812807
camden,17.5149274950242,10.5008899059242,9.18396360534546,0.254258835494533,7.90744978387999,226,County,2020,10355,NA,NA,NA,NA,NA,NA,NA,0,0.021825205214872044
carteret,16.4485304763284,12.2433204503445,10.6876541204613,0.584775667954965,8.86909763065031,1093,County,2020,67686,32.6,64.44,0,0,0,0,0,1,0.01614809561800077
caswell,18.171398342444,31.1864406779661,18.0872127826127,0.743575724439585,21.3012575177693,250,County,2020,22736,NA,NA,NA,NA,NA,NA,NA,0,0.010995777621393385
cherokee,14.9093639386464,21.1049635153556,16.6588081680026,0.577339427471735,15.4197738753909,257,County,2020,28774,100,94.51,1,0,1,0,0,1,0.008931674428303329
chowan,17.2873661062637,26.3818685798141,15.9800159293317,0.815261699005381,16.8922224033915,243,County,2020,13708,NA,NA,NA,NA,NA,NA,NA,0,0.017726874817624746
clay,14.9278275169012,20.6565252201761,13.8540426700852,1.00080064051241,13.470776621297,107,County,2020,11089,NA,NA,NA,NA,NA,NA,NA,0,0.009649201911804491
cleveland,20.4796365206307,27.4678713732533,20.3569366437457,0.331107245075481,19.6896571075818,1348,County,2020,99519,55.79,45.38,0,0,0,0,0,1,0.013545152181995397
columbus,20.603552828708,29.1936978683967,22.8355223429952,1.29749768303985,21.4596848934198,746,County,2020,50623,80.59,63.72,0,0,1,1,1,1,0.014736384647294707
dare,16.1255590525095,7.34754330607251,8.97970530998054,1.80307811191963,4.19215661021315,639,County,2020,36915,NA,NA,NA,NA,NA,NA,NA,0,0.017310036570499798
duplin,19.2921464547968,30.8674182428026,21.1995066296639,5.81384515047051,18.8484114413491,647,County,2020,48715,86.46,65.42,0,1,0,0,1,1,0.013281330185774402
graham,17.6283934657422,36.1921603300914,17.0507462686567,0.589448865310934,31.5060418508694,95,County,2020,8030,NA,NA,NA,NA,NA,NA,NA,0,0.011830635118306352
granville,20.148392983181,18.3364485981308,14.2768257128635,1.16355140186916,11.2102803738318,867,County,2020,60992,NA,NA,NA,NA,NA,NA,NA,0,0.014214979013641132
greene,21.5613559644368,22.9341150195422,22.8591382830128,4.49469570072585,15.787269681742,258,County,2020,20451,NA,NA,NA,NA,NA,NA,NA,0,0.012615520023470736
halifax,19.390505958195,34.4673359661227,25.8028282017852,0.556692201551125,21.511157634296,771,County,2020,48622,54.71,72.95,0,0,1,1,1,1,0.015857019456213237
harnett,24.6607651776872,16.5668486876872,15.7968345726207,1.48405848159239,8.57407081204862,1739,County,2020,133568,55.92,46.47,0,0,0,0,0,1,0.013019585529468136
hertford,23.28002665334,31.8711136235161,21.9279758086686,0.70096099491238,20.5539853024308,320,County,2020,21552,68.64,84.47,0,0,1,0,1,1,0.014847809948032665
